Object ID,Title,Object Name,Department,Culture,Period,Artist Display Name,Medium,Dimensions,Classification,Object Date,General_Text_Description,url
435730,Madonna and Child with Two Angels,Painting,European Paintings,Unknown,Unknown,Botticelli,Tempera on wood,"Oval, 39 1/4 x 28 in. (99.7 x 71.1 cm)",Paintings,Unknown,"Madonna and Child with Two Angels is a Unknown Painting by the Unknown artist Botticelli. This piece, part of the European Paintings collection, is crafted using Tempera on wood. Measuring Oval, 39 1/4 x 28 in. (99.7 x 71.1 cm), the work is classified as Paintings .",http://example_url_2803/
435731,The Coronation of the Virgin,Painting,European Paintings,Unknown,Unknown,Botticelli,"Tempera on canvas, transferred from wood",39 1/2 x 60 1/4 in. (100.3 x 153 cm),Paintings,Unknown,"The Coronation of the Virgin is a Unknown Painting by the Unknown artist Botticelli. This piece, part of the European Paintings collection, is crafted using Tempera on canvas, transferred from wood. Measuring 39 1/2 x 60 1/4 in. (100.3 x 153 cm), the work is classified as Paintings .",http://example_url_2804/
435733,Madonna and Child Enthroned with Saints and Angels,Painting,European Paintings,Unknown,Unknown,Francesco Botticini (Francesco di Giovanni),Tempera on wood,"Arched top, 110 1/2 x 69 in. (280.7 x 175.3 cm)",Paintings,1493–95,"Madonna and Child Enthroned with Saints and Angels is a Unknown Painting by the Unknown artist Francesco Botticini (Francesco di Giovanni). This piece, part of the European Paintings collection, is crafted using Tempera on wood. Measuring Arched top, 110 1/2 x 69 in. (280.7 x 175.3 cm), the work is classified as Paintings and was created in 1493–95.",http://example_url_2805/
435734,Saint Sebastian,Painting,European Paintings,Unknown,Unknown,Francesco Botticini (Francesco di Giovanni),Tempera and oil on wood,"Overall, with arched top and engaged frame, 56 3/4 x 26 1/4 in. (144.1 x 66.7 cm); painted surface 53 3/4 x 23 in. (136.5 x 58.4 cm)",Paintings,Unknown,"Saint Sebastian is a Unknown Painting by the Unknown artist Francesco Botticini (Francesco di Giovanni). This piece, part of the European Paintings collection, is crafted using Tempera and oil on wood. Measuring Overall, with arched top and engaged frame, 56 3/4 x 26 1/4 in. (144.1 x 66.7 cm); painted surface 53 3/4 x 23 in. (136.5 x 58.4 cm), the work is classified as Paintings .",http://example_url_2806/
435737,Imaginary Landscape with the Palatine Hill from Campo Vaccino,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,25 x 31 7/8 in. (63.5 x 81 cm),Paintings,early 1730s,"Imaginary Landscape with the Palatine Hill from Campo Vaccino is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 25 x 31 7/8 in. (63.5 x 81 cm), the work is classified as Paintings and was created in early 1730s.",http://example_url_2807/
435738,The Interrupted Sleep,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,Overall 32 1/4 x 29 5/8 in. (81.9 x 75.2 cm); painted surface (irregular oval) 31 x 27 3/4 in. (78.7 x 70.5 cm),Paintings,1750,"The Interrupted Sleep is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Overall 32 1/4 x 29 5/8 in. (81.9 x 75.2 cm); painted surface (irregular oval) 31 x 27 3/4 in. (78.7 x 70.5 cm), the work is classified as Paintings and was created in 1750.",http://example_url_2808/
435739,The Toilette of Venus,"Painting, overdoor",European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,42 5/8 x 33 1/2 in. (108.3 x 85.1 cm),Paintings,1751,"The Toilette of Venus is a Unknown Painting, overdoor by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 42 5/8 x 33 1/2 in. (108.3 x 85.1 cm), the work is classified as Paintings and was created in 1751.",http://example_url_2809/
435740,Allegory of Autumn,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,"Irregular, 44 3/4 x 63 3/4 in. (113.7 x 161.9 cm)",Paintings,1753,"Allegory of Autumn is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Irregular, 44 3/4 x 63 3/4 in. (113.7 x 161.9 cm), the work is classified as Paintings and was created in 1753.",http://example_url_2810/
435741,Allegory of Lyric Poetry,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,"Irregular, 45 1/4 x 62 3/4 in. (114.9 x 159.4 cm)",Paintings,1753,"Allegory of Lyric Poetry is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Irregular, 45 1/4 x 62 3/4 in. (114.9 x 159.4 cm), the work is classified as Paintings and was created in 1753.",http://example_url_2811/
435742,Angelica and Medoro,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,"Oval, 26 1/4 x 22 1/8 in. (66.7 x 56.2 cm)",Paintings,1763,"Angelica and Medoro is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Oval, 26 1/4 x 22 1/8 in. (66.7 x 56.2 cm), the work is classified as Paintings and was created in 1763.",http://example_url_2812/
435743,The Dispatch of the Messenger,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,"Oval, 12 5/8 x 10 1/2 in. (32.1 x 26.7 cm)",Paintings,1765,"The Dispatch of the Messenger is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Oval, 12 5/8 x 10 1/2 in. (32.1 x 26.7 cm), the work is classified as Paintings and was created in 1765.",http://example_url_2813/
435744,Virgin and Child with the Young Saint John the Baptist and Angels,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,"Oval, 16 1/8 x 13 5/8 in. (41 x 34.6 cm)",Paintings,1765,"Virgin and Child with the Young Saint John the Baptist and Angels is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Oval, 16 1/8 x 13 5/8 in. (41 x 34.6 cm), the work is classified as Paintings and was created in 1765.",http://example_url_2814/
435745,Shepherd's Idyll,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,94 1/2 x 93 1/2 in. (240 x 237.5 cm),Paintings,1768,"Shepherd's Idyll is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 94 1/2 x 93 1/2 in. (240 x 237.5 cm), the work is classified as Paintings and was created in 1768.",http://example_url_2815/
435746,Washerwomen,Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,95 x 93 in. (241.3 x 236.2 cm),Paintings,1768,"Washerwomen is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 95 x 93 in. (241.3 x 236.2 cm), the work is classified as Paintings and was created in 1768.",http://example_url_2816/
435747,"Jupiter, in the Guise of Diana, and Callisto",Painting,European Paintings,Unknown,Unknown,Fran?ois Boucher,Oil on canvas,"Oval, 25 1/2 x 21 5/8 in. (64.8 x 54.9 cm)",Paintings,1763,"Jupiter, in the Guise of Diana, and Callisto is a Unknown Painting by the Unknown artist Fran?ois Boucher. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Oval, 25 1/2 x 21 5/8 in. (64.8 x 54.9 cm), the work is classified as Paintings and was created in 1763.",http://example_url_2817/
435749,On the Beach at Trouville,Painting,European Paintings,Unknown,Unknown,Eugène Boudin,Oil on wood,"10 1/2 × 19 in. (26.7 × 48.3 cm)
",Paintings,1863,"On the Beach at Trouville is a Unknown Painting by the Unknown artist Eugène Boudin. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 10 1/2 × 19 in. (26.7 × 48.3 cm)
, the work is classified as Paintings and was created in 1863.",http://example_url_2818/
